customer_name,customer_email,customer_phone_number,scheduled_time,status,customer_details,appointment_with,party
Stellan Vasquez,s.vasquez@radialbio.com,,2025-11-11 14:00:00,Open,Advanced-stage lead from Radial Biosystems,Lead,Stellan Vasquez
Gustav Dahl,g.dahl@kestreldx.com,,2025-12-12 14:00:00,Open,Advanced-stage lead from Kestrel Diagnostics,Lead,Gustav Dahl
Kenji Moreau,k.moreau@chartwellinst.com,,2025-10-13 14:00:00,Open,Advanced-stage lead from Chartwell Instruments,Lead,Kenji Moreau
Owen Nazarov,o.nazarov@kilburnmol.com,,2025-11-14 14:00:00,Open,Advanced-stage lead from Kilburn Molecular,Lead,Owen Nazarov
Devon Eriksson,d.eriksson@meritbio.com,,2025-12-15 14:00:00,Open,Advanced-stage lead from Merit BioScience,Lead,Devon Eriksson
Esther Kapoor,e.kapoor@trellismol.com,,2025-10-16 14:00:00,Open,Advanced-stage lead from Trellis Molecular,Lead,Esther Kapoor
Paloma Falcon,p.falcon@glenridgebiolabs.com,,2025-11-17 14:00:00,Open,Advanced-stage lead from Glenridge BioLabs,Lead,Paloma Falcon
Hana Moreau,h.moreau@pentworthmol.com,,2025-12-18 14:00:00,Open,Advanced-stage lead from Pentworth Molecular,Lead,Hana Moreau
Esther Ustinov,e.ustinov@valloninst.com,,2025-10-19 14:00:00,Open,Advanced-stage lead from Vallon Instruments,Lead,Esther Ustinov
Priyanka Janik,p.janik@kadencedx.com,,2025-11-20 14:00:00,Open,Advanced-stage lead from Kadence Diagnostics,Lead,Priyanka Janik
Keiko Rowe,k.rowe@beaconassay.com,,2025-12-21 14:00:00,Open,Advanced-stage lead from Beacon Assay Systems,Lead,Keiko Rowe
Priyanka Gagnon,p.gagnon@radialbio.com,,2025-10-22 14:00:00,Open,Advanced-stage lead from Radial Biosystems,Lead,Priyanka Gagnon
Zane Ibori,z.ibori@silverpinetx.com,,2025-11-23 14:00:00,Open,Advanced-stage lead from Silverpine Therapeutics,Lead,Zane Ibori
Klaus Enescu,k.enescu@ashvalemol.com,,2025-12-24 14:00:00,Open,Advanced-stage lead from Ashvale Molecular,Lead,Klaus Enescu
Oscar Kowalski,o.kowalski@meritbio.com,,2025-10-25 14:00:00,Open,Advanced-stage lead from Merit BioScience,Lead,Oscar Kowalski
Meredith Isaev,m.isaev@whitfielddx.com,,2025-11-26 14:00:00,Open,Advanced-stage lead from Whitfield Diagnostics,Lead,Meredith Isaev
Owen Weiss,o.weiss@quaywaterbiolabs.com,,2025-12-27 14:00:00,Open,Advanced-stage lead from Quaywater BioLabs,Lead,Owen Weiss
Grace Ulrich,g.ulrich@yardsleyanalytical.com,,2025-10-10 14:00:00,Open,Advanced-stage lead from Yardsley Analytical,Lead,Grace Ulrich
Amelia Moreau,a.moreau@hallmarkmol.com,,2025-11-11 14:00:00,Open,Advanced-stage lead from Hallmark Molecular,Lead,Amelia Moreau
Nikolai Radu,n.radu@willowmeredx.com,,2025-12-12 14:00:00,Open,Advanced-stage lead from Willowmere Diagnostics,Lead,Nikolai Radu
Ivaan Winterbourne,i.winterbourne@bellwetherreagents.com,,2025-10-13 14:00:00,Open,Advanced-stage lead from Bellwether Reagents,Lead,Ivaan Winterbourne
Imani Ostrowski,i.ostrowski@windrowsci.com,,2025-11-14 14:00:00,Open,Advanced-stage lead from Windrow Scientific,Lead,Imani Ostrowski
Ingrid Verma,i.verma@sedgwickreagents.com,,2025-12-15 14:00:00,Open,Advanced-stage lead from Sedgwick Reagents,Lead,Ingrid Verma
Umar Chandra,u.chandra@kilburnmol.com,,2025-10-16 14:00:00,Open,Advanced-stage lead from Kilburn Molecular,Lead,Umar Chandra
Amelia Nakamura,a.nakamura@pembertondx.com,,2025-11-17 14:00:00,Open,Advanced-stage lead from Pemberton Diagnostics,Lead,Amelia Nakamura
Chen Ustinov,c.ustinov@underhillbio.com,,2025-12-18 14:00:00,Open,Advanced-stage lead from Underhill Bio,Lead,Chen Ustinov
Mikhail Yilmaz,m.yilmaz@bosworthbio.com,,2025-10-19 14:00:00,Open,Advanced-stage lead from Bosworth BioScience,Lead,Mikhail Yilmaz
Boris Grondin,b.grondin@fairhavenanalytical.com,,2025-11-20 14:00:00,Open,Advanced-stage lead from Fairhaven Analytical,Lead,Boris Grondin
