salutation,first_name,last_name,gender,date_of_birth,date_of_joining,status,company,department,designation,personal_email,company_email,cell_number
,Dana,Whitfield,Female,1972-06-15,2018-03-01,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,CEO,,dana.whitfield@thornfieldlsm.com,
,Priya,Ramaswamy,Female,1988-09-22,2020-06-15,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,Marketing Operations Lead,,priya.ramaswamy@thornfieldlsm.com,
,Ted,Kowalczyk,Male,1980-03-11,2019-01-14,Active,"Thornfield Life Sciences Marketing, Inc.",Paid Media,VP Paid Media,,ted.kowalczyk@thornfieldlsm.com,
,Sofia,Bergen,Female,1985-11-28,2025-09-01,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Director Client Strategy,,sofia.bergen@thornfieldlsm.com,
,Alan,Rutherford,Male,1976-07-03,2019-08-12,Active,"Thornfield Life Sciences Marketing, Inc.",Finance,Finance Director,,alan.rutherford@thornfieldlsm.com,
,Grace,Feldman,Female,1990-04-17,2021-02-01,Active,"Thornfield Life Sciences Marketing, Inc.",Analytics & Reporting,Director Analytics & Reporting,,grace.feldman@thornfieldlsm.com,
,Owen,Castellano,Male,1983-12-09,2020-09-28,Active,"Thornfield Life Sciences Marketing, Inc.",Creative,Creative Director,,owen.castellano@thornfieldlsm.com,
,Linh,Vuong,Female,1982-01-30,2021-04-05,Active,"Thornfield Life Sciences Marketing, Inc.",Compliance,Compliance & Legal Counsel,,linh.vuong@thornfieldlsm.com,
,Marcus,Oyelaran,Male,1975-08-19,2025-09-01,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,Integration Advisor,,marcus.oyelaran@thornfieldlsm.com,
,Meredith,Halloran,Female,1987-05-14,2022-03-15,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,meredith.halloran@thornfieldlsm.com,
,James,Fitzpatrick,Male,1991-10-02,2022-07-01,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,james.fitzpatrick@thornfieldlsm.com,
,Priscilla,Choi,Female,1993-02-18,2023-01-09,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,priscilla.choi@thornfieldlsm.com,
,Terrance,Bloom,Male,1986-06-25,2021-11-15,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,terrance.bloom@thornfieldlsm.com,
,Nadia,Petrov,Female,1989-08-07,2022-09-12,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,nadia.petrov@thornfieldlsm.com,
,Colin,Ashworth,Male,1984-12-31,2021-05-03,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,colin.ashworth@thornfieldlsm.com,
,Deirdre,O'Sullivan,Female,1990-03-20,2023-06-17,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,deirdre.osullivan@thornfieldlsm.com,
,Kevin,Rasmussen,Male,1992-07-11,2023-10-02,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Associate Account Manager,,kevin.rasmussen@thornfieldlsm.com,
,Cyrus,Delacroix,Male,1988-04-08,2025-09-01,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,cyrus.delacroix@thornfieldlsm.com,
,Anika,Whitworth,Female,1994-11-15,2025-09-01,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,anika.whitworth@thornfieldlsm.com,
,Reid,Alderman,Male,1990-09-26,2025-09-01,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Associate Account Manager,,reid.alderman@thornfieldlsm.com,
,Vanessa,Trotter,Female,1991-01-03,2025-09-01,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,vanessa.trotter@thornfieldlsm.com,
,Erik,Vaskovic,Male,1989-02-14,2022-04-11,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,erik.vaskovic@thornfieldlsm.com,
,Marisol,Aguirre,Female,1991-06-30,2022-08-22,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,marisol.aguirre@thornfieldlsm.com,
,Tomasz,Bergstrom,Male,1987-11-05,2021-03-29,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,tomasz.bergstrom@thornfieldlsm.com,
,Rachel,Ohaeri,Female,1993-04-12,2023-02-06,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,rachel.ohaeri@thornfieldlsm.com,
,Sun-Hi,Park,Female,1990-08-18,2022-11-14,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,sun-hi.park@thornfieldlsm.com,
,Devon,Blackthorne,Male,1988-01-22,2021-07-19,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,devon.blackthorne@thornfieldlsm.com,
,Rebecca,Ostrowski,Female,1986-10-08,2020-01-13,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,rebecca.ostrowski@thornfieldlsm.com,
,Kenji,Watanabe,Male,1985-05-27,2019-11-04,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,kenji.watanabe@thornfieldlsm.com,
,Marcus,Delacroix,Male,1987-03-16,2020-06-22,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,marcus.delacroix@thornfieldlsm.com,
,Sarah,Blackwell,Female,1992-12-04,2021-09-13,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,sarah.blackwell@thornfieldlsm.com,
,Amara,Okonkwo,Female,1989-07-21,2020-04-06,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,amara.okonkwo@thornfieldlsm.com,
,David,Chen,Male,1990-11-13,2021-01-18,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,david.chen@thornfieldlsm.com,
,Isabelle,Moreau,Female,1988-06-09,2020-08-31,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,isabelle.moreau@thornfieldlsm.com,
,Nathaniel,Reeves,Male,1991-09-01,2022-01-10,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,nathaniel.reeves@thornfieldlsm.com,
,Jamie,Torres,Male,1994-03-28,2023-04-17,Active,"Thornfield Life Sciences Marketing, Inc.",Creative,Senior Analyst,,jamie.torres@thornfieldlsm.com,
,Devon,Ackerley,Male,1992-08-15,2022-10-03,Active,"Thornfield Life Sciences Marketing, Inc.",Creative,Senior Analyst,,devon.ackerley@thornfieldlsm.com,
,Alex,Chen,Male,1996-01-19,2025-10-14,Active,"Thornfield Life Sciences Marketing, Inc.",Creative,Senior Analyst,,alex.chen@thornfieldlsm.com,
,Casey,Morgan,Female,1993-05-06,2023-01-23,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,casey.morgan@thornfieldlsm.com,
,Hallie,Newkirk,Female,1995-07-12,2024-02-05,Active,"Thornfield Life Sciences Marketing, Inc.",Creative,Senior Analyst,,hallie.newkirk@thornfieldlsm.com,
,Roderick,Ravensworth,Male,1991-09-18,2018-01-05,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,Marketing Operations Manager,,roderick.ravensworth@thornfieldlsm.com,
,Emeka,Quintrell,Male,1976-12-19,2018-01-05,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,Lead Independent Director,,emeka.quintrell@thornfieldlsm.com,
,Silas,Norwood,Male,1981-10-13,2018-06-01,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,Independent Director,,silas.norwood@thornfieldlsm.com,
,Ignatius,Jarrett,Male,1979-04-05,2019-03-04,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,VP Marketing,,ignatius.jarrett@thornfieldlsm.com,
,Elias,Thackeray,Female,1984-08-03,2020-02-17,Active,"Thornfield Life Sciences Marketing, Inc.",Marketing Operations,Director of Marketing,,elias.thackeray@thornfieldlsm.com,
,Percival,Eastwick,Male,1988-03-21,2025-01-28,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Senior Account Manager,,percival.eastwick@thornfieldlsm.com,
,Saoirse,Beaumont,Male,1987-07-13,2020-11-14,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,saoirse.beaumont@thornfieldlsm.com,
,Wren,Ashgrove,Male,1993-09-28,2023-08-17,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Account Manager,,wren.ashgrove@thornfieldlsm.com,
,Maximilian,Prentiss,Female,1988-11-18,2019-11-24,Active,"Thornfield Life Sciences Marketing, Inc.",Client Strategy,Associate Account Manager,,maximilian.prentiss@thornfieldlsm.com,
,Fiona,Dunmore,Female,1995-02-10,2025-05-25,Active,"Thornfield Life Sciences Marketing, Inc.",Creative,Senior Analyst,,fiona.dunmore@thornfieldlsm.com,
,Cassius,Dempster,Female,1985-12-24,2022-03-15,Active,"Thornfield Life Sciences Marketing, Inc.",Analytics & Reporting,Senior Analyst,,cassius.dempster@thornfieldlsm.com,
,Torsten,Kestner,Female,1990-09-04,2021-09-25,Active,"Thornfield Life Sciences Marketing, Inc.",Paid Media,Account Manager,,torsten.kestner@thornfieldlsm.com,
,Marisela,Nightingale,Female,2001-10-07,2025-11-10,Active,"Thornfield Life Sciences Marketing, Inc.",Compliance,Account Manager,,marisela.nightingale@thornfieldlsm.com,
,Freya,Whitcombe,Female,1990-09-25,2020-06-25,Active,"Thornfield Life Sciences Marketing, Inc.",Finance,Senior Account Manager,,freya.whitcombe@thornfieldlsm.com,
,Reinhold,Quimby,Female,1993-02-08,2016-01-04,Active,"Bramwell Scientific Marketing, LLC",Marketing Operations,CEO,,reinhold.quimby@bramwellsm.com,
,Adaeze,Upshaw,Male,1974-04-18,2017-02-01,Active,"Bramwell Scientific Marketing, LLC",Marketing Operations,VP Marketing,,adaeze.upshaw@bramwellsm.com,
,Petra,Aldercott,Male,1982-03-14,2018-05-14,Active,"Bramwell Scientific Marketing, LLC",Marketing Operations,Director of Marketing,,petra.aldercott@bramwellsm.com,
,Bianca,Rathbone,Female,1973-05-15,2017-09-11,Active,"Bramwell Scientific Marketing, LLC",Finance,Procurement Director,,bianca.rathbone@bramwellsm.com,
,Tobias,Abernathy,Male,1975-02-15,2016-11-03,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Vice President,,tobias.abernathy@bramwellsm.com,
,Miles,Merriweather,Female,1985-02-25,2024-02-02,Active,"Bramwell Scientific Marketing, LLC",Compliance,Senior Account Manager,,miles.merriweather@bramwellsm.com,
,Emory,Farnsworth,Female,2000-08-07,2019-03-14,Active,"Bramwell Scientific Marketing, LLC",Creative,Account Manager,,emory.farnsworth@bramwellsm.com,
,Anouk,Vellacott,Male,1997-01-13,2022-01-06,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Senior Analyst,,anouk.vellacott@bramwellsm.com,
,Otto,Hargrove,Female,1998-12-24,2020-08-10,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Associate Account Manager,,otto.hargrove@bramwellsm.com,
,Marguerite,Grantham,Male,2000-03-07,2024-11-23,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Senior Analyst,,marguerite.grantham@bramwellsm.com,
,Barnaby,Calloway,Male,1986-12-11,2020-04-02,Active,"Bramwell Scientific Marketing, LLC",Paid Media,Account Manager,,barnaby.calloway@bramwellsm.com,
,Noor,Brennock,Female,2000-09-28,2016-01-19,Active,"Bramwell Scientific Marketing, LLC",Finance,Senior Account Manager,,noor.brennock@bramwellsm.com,
,Delphine,Lindqvist,Male,2001-02-28,2024-03-02,Active,"Bramwell Scientific Marketing, LLC",Creative,Account Manager,,delphine.lindqvist@bramwellsm.com,
,Ines,Braithwaite,Male,1987-11-28,2018-02-20,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Senior Analyst,,ines.braithwaite@bramwellsm.com,
,Camille,Underhill,Female,1992-10-20,2019-07-04,Active,"Bramwell Scientific Marketing, LLC",Compliance,Senior Analyst,,camille.underhill@bramwellsm.com,
,Solveig,Isherwood,Female,1998-11-19,2016-10-03,Active,"Bramwell Scientific Marketing, LLC",Paid Media,Account Manager,,solveig.isherwood@bramwellsm.com,
,Aveline,Ingersoll,Female,1993-04-22,2025-09-11,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Account Manager,,aveline.ingersoll@bramwellsm.com,
,Esme,Waverly,Female,1980-03-22,2021-04-09,Active,"Bramwell Scientific Marketing, LLC",Compliance,Creative Director,,esme.waverly@bramwellsm.com,
,Wilhelmina,Gantry,Male,1987-01-15,2020-08-11,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Associate Account Manager,,wilhelmina.gantry@bramwellsm.com,
,Genevieve,Stanfield,Female,1987-09-07,2025-10-04,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Account Manager,,genevieve.stanfield@bramwellsm.com,
,Corbin,Vandermeer,Male,1996-02-08,2024-05-05,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Senior Account Manager,,corbin.vandermeer@bramwellsm.com,
,Cormac,Trelawny,Male,1999-09-23,2021-05-06,Active,"Bramwell Scientific Marketing, LLC",Paid Media,Associate Account Manager,,cormac.trelawny@bramwellsm.com,
,Dashiell,Ostrander,Male,2001-01-22,2020-10-26,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Senior Account Manager,,dashiell.ostrander@bramwellsm.com,
,Callum,Carrow,Female,1988-03-09,2024-05-22,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Account Manager,,callum.carrow@bramwellsm.com,
,Anton,Ellery,Female,1989-05-10,2017-02-24,Active,"Bramwell Scientific Marketing, LLC",Finance,Account Manager,,anton.ellery@bramwellsm.com,
,Konrad,Marchetti,Male,1995-04-22,2025-04-23,Active,"Bramwell Scientific Marketing, LLC",Paid Media,Account Manager,,konrad.marchetti@bramwellsm.com,
,Tamsin,Lachlan,Female,1993-01-03,2020-09-16,Active,"Bramwell Scientific Marketing, LLC",Creative,Senior Account Manager,,tamsin.lachlan@bramwellsm.com,
,Ramona,Yarrow,Male,1968-06-25,2022-05-02,Active,"Bramwell Scientific Marketing, LLC",Creative,Finance Director,,ramona.yarrow@bramwellsm.com,
,Julian,Osgood,Male,1990-12-15,2018-11-09,Active,"Bramwell Scientific Marketing, LLC",Analytics & Reporting,Account Manager,,julian.osgood@bramwellsm.com,
,Desmond,Pemberton,Female,1985-02-03,2024-12-14,Active,"Bramwell Scientific Marketing, LLC",Analytics & Reporting,Account Manager,,desmond.pemberton@bramwellsm.com,
,Yolanda,Sorrentino,Male,1996-10-18,2018-09-02,Active,"Bramwell Scientific Marketing, LLC",Creative,Associate Account Manager,,yolanda.sorrentino@bramwellsm.com,
,Bastian,Kirchner,Male,1986-05-12,2018-07-05,Active,"Bramwell Scientific Marketing, LLC",Client Strategy,Senior Account Manager,,bastian.kirchner@bramwellsm.com,
