status,first_name,last_name,company_name,email_id,mobile_no,country,source,territory,salutation,middle_name,job_title,lead_owner,type,website,city,state,phone,whatsapp_no,qualification_status,blog_subscriber,no_of_employees,annual_revenue,language,industry,market_segment,gender,fax
Interested,Pia,Nazarov,Fenland Diagnostics,p.nazarov@fenlanddx.com,,United States,Conference — SLAS 2025,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,32500.0,,,,,
Interested,Simone,Petrov,Corvex Molecular,s.petrov@corvexmol.com,,United States,Referral — Existing client,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,48000.0,,,,,
Opportunity,Stellan,Vasquez,Radial Biosystems,s.vasquez@radialbio.com,,United States,Inbound — Demo request,,,,,Tomasz Bergstrom,Client,,,,,,Qualified,0,,72000.0,,,,,
Lead,Felix,Castellanos,Larkspur Bio,f.castellanos@larkspurbio.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Ivaan,Isaev,Ashcroft Assays,i.isaev@ashcroftassays.com,,United States,Conference — SLAS 2025,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,28000.0,,,,,
Lead,Sanjay,Manaia,Bellwether Reagents,s.manaia@bellwetherreagents.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Lead,Talia,Kallas,Halcyon Analytical,t.kallas@halcyonanalytical.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Aroha,Radu,Meadowbrook Genomics,a.radu@meadowbrookgx.com,,United States,Webinar — Q4 Genomics Series,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,54000.0,,,,,
Interested,Nathan,Mancini,Silverpine Therapeutics,n.mancini@silverpinetx.com,,United States,Outbound — SDR sequence,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,86000.0,,,,,
Interested,Ravi,Janik,Windrow Scientific,r.janik@windrowsci.com,,United States,LinkedIn — Sponsored Content,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,22500.0,,,,,
Lead,Paloma,Okafor,Norwich Bioinstruments,p.okafor@norwichbio.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Gustav,Dahl,Kestrel Diagnostics,g.dahl@kestreldx.com,,United States,Conference — AACC 2025,,,,,Marisol Aguirre,Client,,,,,,Qualified,0,,115000.0,,,,,
Interested,Pia,Beringer,Northgate BioLabs,p.beringer@northgatebiolabs.com,,United States,Referral — Partner,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,40000.0,,,,,
Interested,Priyanka,Zimmerman,Sedgwick Reagents,p.zimmerman@sedgwickreagents.com,,United States,Trade publication — GEN,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,34500.0,,,,,
Lead,Malia,Orozco,Ashvale Molecular,m.orozco@ashvalemol.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
