opportunity_from,party_name,status,company,transaction_date,territory,opportunity_amount,campaign,title,opportunity_type,contact_person,contact_mobile,contact_email,probability,expected_closing,sales_stage,currency,customer_group,opportunity_owner,no_of_employees,annual_revenue,industry,market_segment
Customer,Thistlewood Biosystems,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-01-14,,150000.0,,OPP-2025-0031 Thistlewood Biosystems,Sales,,,,100,2025-01-14,Closed Won,USD,,Rebecca Ostrowski,,,,
Customer,Halberd Genomics,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-01-27,,80000.0,,OPP-2025-0038 Halberd Genomics,Sales,,,,100,2025-01-27,Closed Won,USD,,Kenji Watanabe,,,,
Customer,Cormorant Bio,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-02-10,,55000.0,,OPP-2025-0045 Cormorant Bio,Sales,,,,100,2025-02-10,Closed Won,USD,,Marcus Delacroix,,,,
Customer,Vesalius Labs,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-02-18,,55000.0,,OPP-2025-0049 Vesalius Labs,Sales,,,,100,2025-02-18,Closed Won,USD,,Sarah Blackwell,,,,
Customer,Kensington Diagnostics,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-02-25,,35000.0,,OPP-2025-0053 Kensington Diagnostics,Sales,,,,100,2025-02-25,Closed Won,USD,,Amara Okonkwo,,,,
Customer,Redstone Analytical,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-03-04,,35000.0,,OPP-2025-0058 Redstone Analytical,Sales,,,,100,2025-03-04,Closed Won,USD,,David Chen,,,,
Customer,Bellamy Instruments,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-03-12,,35000.0,,OPP-2025-0062 Bellamy Instruments,Sales,,,,100,2025-03-12,Closed Won,USD,,Isabelle Moreau,,,,
Customer,Farnham Biotech,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-03-20,,20000.0,,OPP-2025-0067 Farnham Biotech,Sales,,,,100,2025-03-20,Closed Won,USD,,Rebecca Ostrowski,,,,
Customer,Grantham Sciences,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-04-02,,20000.0,,OPP-2025-0071 Grantham Sciences,Sales,,,,100,2025-04-02,Closed Won,USD,,Nathaniel Reeves,,,,
Customer,Hollis Diagnostics,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-04-08,,20000.0,,OPP-2025-0074 Hollis Diagnostics,Sales,,,,100,2025-04-08,Closed Won,USD,,Kenji Watanabe,,,,
Customer,Ivory Peak Biosciences,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-04-16,,20000.0,,OPP-2025-0078 Ivory Peak Biosciences,Sales,,,,100,2025-04-16,Closed Won,USD,,Marcus Delacroix,,,,
Customer,Larchmont Reagents,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-04-22,,10000.0,,OPP-2025-0081 Larchmont Reagents,Sales,,,,100,2025-04-22,Closed Won,USD,,Sarah Blackwell,,,,
Customer,Marvell Cellular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-05-05,,15000.0,,OPP-2025-0086 Marvell Cellular,Sales,,,,100,2025-05-05,Closed Won,USD,,Amara Okonkwo,,,,
Customer,Ottershaw Instruments,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-05-13,,15000.0,,OPP-2025-0089 Ottershaw Instruments,Sales,,,,100,2025-05-13,Closed Won,USD,,David Chen,,,,
Customer,Prescott Life Sciences,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-05-21,,15000.0,,OPP-2025-0093 Prescott Life Sciences,Sales,,,,100,2025-05-21,Closed Won,USD,,Isabelle Moreau,,,,
Customer,Quimby Molecular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-05-28,,15000.0,,OPP-2025-0097 Quimby Molecular,Sales,,,,100,2025-05-28,Closed Won,USD,,Rebecca Ostrowski,,,,
Customer,Ridgemont Bio,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-06-04,,12000.0,,OPP-2025-0102 Ridgemont Bio,Sales,,,,100,2025-06-04,Closed Won,USD,,Nathaniel Reeves,,,,
Customer,Stanton Biosystems,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-06-12,,10000.0,,OPP-2025-0106 Stanton Biosystems,Sales,,,,100,2025-06-12,Closed Won,USD,,Kenji Watanabe,,,,
Customer,Tremaine Diagnostics,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-06-19,,10000.0,,OPP-2025-0110 Tremaine Diagnostics,Sales,,,,100,2025-06-19,Closed Won,USD,,Marcus Delacroix,,,,
Customer,Uphill Molecular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-06-26,,10000.0,,OPP-2025-0114 Uphill Molecular,Sales,,,,100,2025-06-26,Closed Won,USD,,Sarah Blackwell,,,,
Customer,Verwood Sciences,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-07-03,,10000.0,,OPP-2025-0118 Verwood Sciences,Sales,,,,100,2025-07-03,Closed Won,USD,,Amara Okonkwo,,,,
Customer,Whitcombe Reagents,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-07-10,,10000.0,,OPP-2025-0122 Whitcombe Reagents,Sales,,,,100,2025-07-10,Closed Won,USD,,David Chen,,,,
Customer,Xanadu Biotech,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-07-17,,7000.0,,OPP-2025-0126 Xanadu Biotech,Sales,,,,100,2025-07-17,Closed Won,USD,,Isabelle Moreau,,,,
Customer,Yardley Labs,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-07-24,,7000.0,,OPP-2025-0129 Yardley Labs,Sales,,,,100,2025-07-24,Closed Won,USD,,Rebecca Ostrowski,,,,
Customer,Zenithal Molecular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-08-01,,7000.0,,OPP-2025-0133 Zenithal Molecular,Sales,,,,100,2025-08-01,Closed Won,USD,,Nathaniel Reeves,,,,
Customer,Aldergrove BioSolutions,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-08-08,,7000.0,,OPP-2025-0136 Aldergrove BioSolutions,Sales,,,,100,2025-08-08,Closed Won,USD,,Kenji Watanabe,,,,
Customer,Blyth Analytical,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-08-15,,7000.0,,OPP-2025-0140 Blyth Analytical,Sales,,,,100,2025-08-15,Closed Won,USD,,Marcus Delacroix,,,,
Customer,Caraway Diagnostics,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-08-22,,7000.0,,OPP-2025-0144 Caraway Diagnostics,Sales,,,,100,2025-08-22,Closed Won,USD,,Sarah Blackwell,,,,
Customer,Draycott Life Sciences,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-09-02,,7000.0,,OPP-2025-0148 Draycott Life Sciences,Sales,,,,100,2025-09-02,Closed Won,USD,,Amara Okonkwo,,,,
Customer,Elmswood Bio,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-09-10,,7000.0,,OPP-2025-0151 Elmswood Bio,Sales,,,,100,2025-09-10,Closed Won,USD,,David Chen,,,,
Customer,Fenlow Reagents,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-09-17,,7000.0,,OPP-2025-0155 Fenlow Reagents,Sales,,,,100,2025-09-17,Closed Won,USD,,Isabelle Moreau,,,,
Customer,Girton Molecular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-09-24,,7000.0,,OPP-2025-0159 Girton Molecular,Sales,,,,100,2025-09-24,Closed Won,USD,,Rebecca Ostrowski,,,,
Customer,Hargrove Diagnostics,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,,5000.0,,OPP-2025-0163 Hargrove Diagnostics,Sales,,,,100,2025-10-01,Closed Won,USD,,Nathaniel Reeves,,,,
Customer,Inglewood Bio,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-10-08,,5000.0,,OPP-2025-0167 Inglewood Bio,Sales,,,,100,2025-10-08,Closed Won,USD,,Kenji Watanabe,,,,
Customer,Jasper Cellular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-10-15,,5000.0,,OPP-2025-0171 Jasper Cellular,Sales,,,,100,2025-10-15,Closed Won,USD,,Marcus Delacroix,,,,
Customer,Torrent Molecular,Converted,"Thornfield Life Sciences Marketing, Inc.",2025-10-22,,5000.0,,OPP-2025-0175 Torrent Molecular,Sales,,,,100,2025-10-22,Closed Won,USD,,Sarah Blackwell,,,,
