parent,lead
Alderman Diagnostics,Giulia Quintero
Alderman Diagnostics,Kai Quintero
Alderman Diagnostics,Yasmin Grondin
Argent Molecular,Selin Ahmed
Argent Molecular,Umar Yilmaz
Ashcroft Assays,Ivaan Isaev
Ashcroft Assays,Wei Onyekachi
Ashcroft Assays,Hana Janik
Ashland Genomics,Deepak Iyer
Ashland Genomics,Sanjay Dahl
Ashvale Molecular,Malia Orozco
Ashvale Molecular,Klaus Enescu
Ashvale Molecular,Renata Osei
Beacon Assay Systems,Keiko Rowe
Beacon Assay Systems,Oscar Sharma
Bellwether Reagents,Sanjay Manaia
Bellwether Reagents,Malia Chandra
Bellwether Reagents,Ivaan Winterbourne
Bosworth BioScience,Priya Sato
Bosworth BioScience,Klaus Marchand
Bosworth BioScience,Mikhail Yilmaz
Bramford Scientific,Alistair Ostrowski
Brixton Reagents,Farah Krishnamurthy
Brixton Reagents,Amir Kapoor
Caldwell Diagnostics,Malia Moreau
Chartwell Instruments,Kenji Moreau
Chartwell Instruments,Vikram Volkov
Chartwell Instruments,Priyanka Quintero
Coastwise Reagents,Lucas Ulrich
Coastwise Reagents,Torsten Wei
Colvin Reagents,Idris Hoffmann
Colvin Reagents,Keiko Kapoor
Colvin Reagents,Amir Mancini
Corvex Molecular,Simone Petrov
Corvex Molecular,Elena Isaev
Corvex Molecular,Neha Farouk
Deerfield Molecular,Mikhail Marchand
Deerfield Molecular,Selin Wisniewski
Deerfield Molecular,Vera Falcon
Delaney BioScience,Simone Vasquez
Delaney BioScience,Jamal Kapoor
Draycott Genomics,Tariq Onyekachi
Draycott Genomics,Larisa Ulrich
Draycott Genomics,Rohit Wei
Elmwood BioScience,Deepak Beaulieu
Elmwood BioScience,Kofi Kapoor
Elmwood BioScience,Magnus Manaia
Enfield Reagents,Nikolai Papadopoulos
Enfield Reagents,Henry Moreau
Estwick Instruments,Idris Dahl
Estwick Instruments,Owen Lundgren
Estwick Instruments,Oscar Farouk
Everglade Diagnostics,Callum Ostrowski
Everglade Diagnostics,Paloma Booker
Fairhaven Analytical,Bianca Baumann
Fairhaven Analytical,Anika Janik
Fairhaven Analytical,Boris Grondin
Fenland Diagnostics,Pia Nazarov
Fenland Diagnostics,Magnus Rivas
Fenland Diagnostics,Cormac Sato
Ferncliff Diagnostics,Stellan Ulrich
Ferncliff Diagnostics,Kai Volkov
Ferncliff Diagnostics,Freya Nazarov
Gairloch Analytical,Petra Cabrera
Gairloch Analytical,Nia Kallas
Gairloch Analytical,Viktor Beringer
Glenridge BioLabs,Paloma Falcon
Glenridge BioLabs,Torsten Orozco
Halcyon Analytical,Talia Kallas
Halcyon Analytical,Dahlia Marchand
Halcyon Analytical,Imani Ferreira
Halewood Diagnostics,Edvard Petrov
Halewood Diagnostics,Priyanka Radu
Halewood Diagnostics,Kenji Okafor
Hallmark Molecular,Noor Delgado
Hallmark Molecular,Amelia Moreau
Harborlight Bio,Boris Baumann
Harborlight Bio,Gustav Tanaka
