sales_person_name,parent_sales_person,is_group,commission_rate,enabled
Amara Okonkwo,,0,0,1
David Chen,,0,0,1
Devon Blackthorne,,0,0,1
Erik Vaskovic,,0,0,1
Isabelle Moreau,,0,0,1
Kenji Watanabe,,0,0,1
Marcus Delacroix,,0,0,1
Marisol Aguirre,,0,0,1
Nathaniel Reeves,,0,0,1
Rachel Ohaeri,,0,0,1
Rebecca Ostrowski,,0,0,1
Sarah Blackwell,,0,0,1
Sun-Hi Park,,0,0,1
Tomasz Bergstrom,,0,0,1
Anika Whitworth,,0,0,1
Colin Ashworth,,0,0,1
Cyrus Delacroix,,0,0,1
Deirdre O'Sullivan,,0,0,1
James Fitzpatrick,,0,0,1
Kevin Rasmussen,,0,0,1
Meredith Halloran,,0,0,1
Nadia Petrov,,0,0,1
Priscilla Choi,,0,0,1
Reid Alderman,,0,0,1
Sofia Bergen,,0,0,1
Terrance Bloom,,0,0,1
Vanessa Trotter,,0,0,1
