employee_id,first_name,last_name,job_title,department,employment_status,hire_date,date_of_birth,gender,work_email,company,location
EMP-0001,Dana,Whitfield,CEO,Marketing Operations,Active,2018-03-01,1972-06-15,Female,dana.whitfield@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0002,Priya,Ramaswamy,Marketing Operations Lead,Marketing Operations,Active,2020-06-15,1988-09-22,Female,priya.ramaswamy@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0003,Ted,Kowalczyk,VP Paid Media,Paid Media,Active,2019-01-14,1980-03-11,Male,ted.kowalczyk@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0004,Sofia,Bergen,Director Client Strategy,Client Strategy,Active,2025-09-01,1985-11-28,Female,sofia.bergen@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0005,Alan,Rutherford,Finance Director,Finance,Active,2019-08-12,1976-07-03,Male,alan.rutherford@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0006,Grace,Feldman,Director Analytics & Reporting,Analytics & Reporting,Active,2021-02-01,1990-04-17,Female,grace.feldman@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0007,Owen,Castellano,Creative Director,Creative,Active,2020-09-28,1983-12-09,Male,owen.castellano@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0008,Linh,Vuong,Compliance & Legal Counsel,Compliance,Active,2021-04-05,1982-01-30,Female,linh.vuong@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0009,Marcus,Oyelaran,Integration Advisor,Marketing Operations,Active,2025-09-01,1975-08-19,Male,marcus.oyelaran@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0010,Meredith,Halloran,Senior Account Manager,Client Strategy,Active,2022-03-15,1987-05-14,Female,meredith.halloran@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0011,James,Fitzpatrick,Account Manager,Client Strategy,Active,2022-07-01,1991-10-02,Male,james.fitzpatrick@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0012,Priscilla,Choi,Account Manager,Client Strategy,Active,2023-01-09,1993-02-18,Female,priscilla.choi@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0013,Terrance,Bloom,Senior Account Manager,Client Strategy,Active,2021-11-15,1986-06-25,Male,terrance.bloom@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0014,Nadia,Petrov,Account Manager,Client Strategy,Active,2022-09-12,1989-08-07,Female,nadia.petrov@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0015,Colin,Ashworth,Senior Account Manager,Client Strategy,Active,2021-05-03,1984-12-31,Male,colin.ashworth@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0016,Deirdre,O'Sullivan,Account Manager,Client Strategy,Active,2023-06-17,1990-03-20,Female,deirdre.osullivan@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0017,Kevin,Rasmussen,Associate Account Manager,Client Strategy,Active,2023-10-02,1992-07-11,Male,kevin.rasmussen@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0018,Cyrus,Delacroix,Account Manager,Client Strategy,Active,2025-09-01,1988-04-08,Male,cyrus.delacroix@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0019,Anika,Whitworth,Account Manager,Client Strategy,Active,2025-09-01,1994-11-15,Female,anika.whitworth@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0020,Reid,Alderman,Associate Account Manager,Client Strategy,Active,2025-09-01,1990-09-26,Male,reid.alderman@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0021,Vanessa,Trotter,Account Manager,Client Strategy,Active,2025-09-01,1991-01-03,Female,vanessa.trotter@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0022,Erik,Vaskovic,Account Manager,Client Strategy,Active,2022-04-11,1989-02-14,Male,erik.vaskovic@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0023,Marisol,Aguirre,Account Manager,Client Strategy,Active,2022-08-22,1991-06-30,Female,marisol.aguirre@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0024,Tomasz,Bergstrom,Senior Account Manager,Client Strategy,Active,2021-03-29,1987-11-05,Male,tomasz.bergstrom@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0025,Rachel,Ohaeri,Account Manager,Client Strategy,Active,2023-02-06,1993-04-12,Female,rachel.ohaeri@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0026,Sun-Hi,Park,Account Manager,Client Strategy,Active,2022-11-14,1990-08-18,Female,sun-hi.park@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0027,Devon,Blackthorne,Senior Account Manager,Client Strategy,Active,2021-07-19,1988-01-22,Male,devon.blackthorne@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0028,Rebecca,Ostrowski,Senior Account Manager,Client Strategy,Active,2020-01-13,1986-10-08,Female,rebecca.ostrowski@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0029,Kenji,Watanabe,Senior Account Manager,Client Strategy,Active,2019-11-04,1985-05-27,Male,kenji.watanabe@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0030,Marcus,Delacroix,Account Manager,Client Strategy,Active,2020-06-22,1987-03-16,Male,marcus.delacroix@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0031,Sarah,Blackwell,Account Manager,Client Strategy,Active,2021-09-13,1992-12-04,Female,sarah.blackwell@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0032,Amara,Okonkwo,Senior Account Manager,Client Strategy,Active,2020-04-06,1989-07-21,Female,amara.okonkwo@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0033,David,Chen,Account Manager,Client Strategy,Active,2021-01-18,1990-11-13,Male,david.chen@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0034,Isabelle,Moreau,Account Manager,Client Strategy,Active,2020-08-31,1988-06-09,Female,isabelle.moreau@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0035,Nathaniel,Reeves,Account Manager,Client Strategy,Active,2022-01-10,1991-09-01,Male,nathaniel.reeves@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0036,Jamie,Torres,Senior Analyst,Creative,Active,2023-04-17,1994-03-28,Male,jamie.torres@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0037,Devon,Ackerley,Senior Analyst,Creative,Active,2022-10-03,1992-08-15,Male,devon.ackerley@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0038,Alex,Chen,Senior Analyst,Creative,Active,2025-10-14,1996-01-19,Male,alex.chen@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0039,Casey,Morgan,Account Manager,Client Strategy,Active,2023-01-23,1993-05-06,Female,casey.morgan@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0040,Hallie,Newkirk,Senior Analyst,Creative,Active,2024-02-05,1995-07-12,Female,hallie.newkirk@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0041,Roderick,Ravensworth,Board Chair,Marketing Operations,Active,2018-01-05,1991-09-18,Male,roderick.ravensworth@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0042,Emeka,Quintrell,Lead Independent Director,Marketing Operations,Active,2018-01-05,1976-12-19,Male,emeka.quintrell@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0043,Silas,Norwood,Independent Director,Marketing Operations,Active,2018-06-01,1981-10-13,Male,silas.norwood@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0044,Ignatius,Jarrett,VP Marketing,Marketing Operations,Active,2019-03-04,1979-04-05,Male,ignatius.jarrett@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0045,Elias,Thackeray,Director of Marketing,Marketing Operations,Active,2020-02-17,1984-08-03,Female,elias.thackeray@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0046,Percival,Eastwick,Senior Account Manager,Client Strategy,Active,2025-01-28,1988-03-21,Male,percival.eastwick@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0047,Saoirse,Beaumont,Account Manager,Client Strategy,Active,2020-11-14,1987-07-13,Male,saoirse.beaumont@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0048,Wren,Ashgrove,Account Manager,Client Strategy,Active,2023-08-17,1993-09-28,Male,wren.ashgrove@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0049,Maximilian,Prentiss,Associate Account Manager,Client Strategy,Active,2019-11-24,1988-11-18,Female,maximilian.prentiss@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0050,Fiona,Dunmore,Senior Analyst,Creative,Active,2025-05-25,1995-02-10,Female,fiona.dunmore@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0051,Cassius,Dempster,Senior Analyst,Analytics & Reporting,Active,2022-03-15,1985-12-24,Female,cassius.dempster@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0052,Torsten,Kestner,Account Manager,Paid Media,Active,2021-09-25,1990-09-04,Female,torsten.kestner@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0053,Marisela,Nightingale,Account Manager,Compliance,Active,2025-11-10,2001-10-07,Female,marisela.nightingale@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0054,Freya,Whitcombe,Senior Account Manager,Finance,Active,2020-06-25,1990-09-25,Female,freya.whitcombe@thornfieldlsm.com,"Thornfield Life Sciences Marketing, Inc.","Durham, NC"
EMP-0055,Reinhold,Quimby,CEO,Marketing Operations,Active,2016-01-04,1993-02-08,Female,reinhold.quimby@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
